URL,ProjectName,Path,Status,DeadAliveStatus
https://github.com/MatteoLacki/aa2atom,aa2atom,../PythonFiles_keep/aa2atom,Succeeded,dead
https://github.com/kootenpv/access_points,access_points,../PythonFiles_keep/access_points,Succeeded,dead
https://github.com/NightKhaos/accustom,accustom,../PythonFiles_keep/accustom,Succeeded,dead
https://github.com/fp12/achallonge,achallonge,../PythonFiles_keep/achallonge,Succeeded,dead
https://github.com/centrifugal/adjacent,adjacent,../PythonFiles_keep/adjacent,Succeeded,dead
https://github.com/bethgelab/adversarial-vision-challenge,adversarial-vision-challenge,../PythonFiles_keep/adversarial-vision-challenge,Succeeded,dead
https://github.com/Apstra/aeon-venos,aeon-venos,../PythonFiles_keep/aeon-venos,Succeeded,dead
https://github.com/datamade/affinegap,affinegap,../PythonFiles_keep/affinegap,Succeeded,dead
https://github.com/royels/Affirmpy,Affirmpy,../PythonFiles_keep/Affirmpy,Succeeded,dead
https://github.com/tkukushkin/aioamqp-consumer-best,aioamqp-consumer-best,../PythonFiles_keep/aioamqp-consumer-best,Succeeded,dead
https://github.com/kennedyshead/aioasuswrt,aioasuswrt,../PythonFiles_keep/aioasuswrt,Succeeded,dead
https://github.com/rob-blackbourn/aiohttp-route-middleware,aiohttp-route-middleware,../PythonFiles_keep/aiohttp-route-middleware,Succeeded,dead
https://github.com/rominf/aiojira,aiojira,../PythonFiles_keep/aiojira,Succeeded,dead
https://github.com/macrovve/aisparser,aisparser,../PythonFiles_keep/aisparser,Succeeded,dead
https://github.com/numat/alicat,alicat,../PythonFiles_keep/alicat,Succeeded,Alive
https://github.com/UCDavisLibrary/almapipy,almapipy,../PythonFiles_keep/almapipy,Succeeded,dead
https://github.com/EliFinkelshteyn/alphabet-detector,alphabet-detector,../PythonFiles_keep/alphabet-detector,Succeeded,dead
https://github.com/portfoliome/alphavantage,alphavantage,../PythonFiles_keep/alphavantage,Succeeded,dead
https://github.com/ramon-oliveira/aorun,aorun,../PythonFiles_keep/aorun,Succeeded,dead
https://github.com/caronc/apprise,apprise,../PythonFiles_keep/apprise,Succeeded,Alive
